ID,Sub-task A
C52.4.1,NAG
C52.4.2,NAG
C52.6,CAG
C52.7,OAG
C52.10,CAG
C52.10.1,NAG
C52.14,NAG
C52.18,CAG
C52.19,CAG
C52.26,NAG
C52.27,NAG
C52.28,NAG
C52.29,NAG
C52.31,NAG
C52.32,NAG
C52.34,NAG
C52.35,NAG
C52.36,NAG
C52.36.1,NAG
C52.41,OAG
C52.41.1,NAG
C52.43,CAG
C52.44,NAG
C52.47,OAG
C52.48,NAG
C52.49,CAG
C52.50,CAG
C52.52,NAG
C52.53,CAG
C52.55,NAG
C52.56,OAG
C52.61,CAG
C52.62,NAG
C52.64,NAG
C52.65,NAG
C52.66,NAG
C52.67,CAG
C52.68,OAG
C52.71,NAG
C52.72,NAG
C52.74,CAG
C52.75,NAG
C52.75.2,NAG
C52.75.3,NAG
C52.79,NAG
C52.79.1,NAG
C52.79.2,NAG
C52.80,NAG
C52.81,NAG
C52.82,NAG
C52.83,OAG
C52.84,OAG
C52.85,NAG
C52.86,NAG
C52.89,NAG
C52.90,OAG
C52.90.2,NAG
C52.90.3,NAG
C52.90.4,CAG
C52.90.5,NAG
C52.91,NAG
C52.91.1,NAG
C52.91.3,NAG
C52.92,NAG
C52.93,NAG
C52.94,CAG
C52.95,OAG
C52.99,OAG
C52.99.1,NAG
C52.100,NAG
C52.101,OAG
C52.101.1,NAG
C52.102,OAG
C52.103.1,NAG
C52.104,CAG
C52.104.1,NAG
C52.108,NAG
C52.109,OAG
C52.109.1,NAG
C52.110,NAG
C52.114,OAG
C52.114.1,OAG
C52.114.2,NAG
C52.114.3,NAG
C52.114.5,NAG
C52.115,NAG
C52.118,NAG
C52.118.1,OAG
C52.119,CAG
C52.120,CAG
C52.120.1,NAG
C52.122,NAG
C52.124.1,NAG
C52.125,NAG
C52.126,NAG
C52.127,NAG
C52.127.1,NAG
C52.131,NAG
C52.131.1,NAG
C52.131.2,NAG
C52.133,CAG
C52.133.1,NAG
C52.133.2,NAG
C52.133.3,NAG
C52.135,NAG
C52.136,OAG
C52.136.2,CAG
C52.136.3,NAG
C52.137,NAG
C52.137.2,NAG
C52.138,OAG
C52.139,NAG
C52.139.1,NAG
C52.139.3,OAG
C52.139.4,NAG
C52.140,NAG
C52.141.2,NAG
C52.141.5,NAG
C52.142,NAG
C52.143.1,NAG
C52.144,NAG
C52.144.1,NAG
C53.1,CAG
C53.3,OAG
C53.4,OAG
C53.4.2,NAG
C53.4.3,NAG
C53.4.4,CAG
C53.6,NAG
C53.6.1,NAG
C53.7,OAG
C53.8,NAG
C53.9,OAG
C53.10,CAG
C53.10.1,NAG
C53.11,CAG
C53.11.2,NAG
C53.11.3,NAG
C53.11.5,NAG
C53.12,CAG
C53.13,NAG
C53.13.2,NAG
C60.1,NAG
C60.1.2,NAG
C60.1.4,NAG
C60.2,NAG
C60.4,NAG
C60.6,NAG
C60.7,NAG
C60.10,CAG
C60.11,NAG
C60.12,OAG
C60.14,OAG
C60.15,NAG
C60.16,NAG
C60.17,OAG
C60.18,NAG
C60.19,NAG
C60.20,NAG
C60.22,NAG
C60.23,CAG
C60.24,NAG
C60.25,CAG
C60.26,NAG
C60.28,NAG
C60.30,NAG
C60.31,CAG
C60.32,NAG
C60.37,NAG
C60.38,NAG
C60.40,CAG
C60.42,NAG
C60.44,NAG
C60.45,NAG
C60.46,CAG
C60.47,CAG
C60.50,NAG
C60.51,OAG
C60.52,OAG
C60.53,NAG
C60.54,NAG
C60.55,NAG
C60.56,NAG
C60.57,NAG
C60.59,NAG
C60.60,NAG
C60.61,CAG
C60.62,NAG
C60.63,NAG
C60.64,NAG
C60.65,NAG
C60.66,OAG
C60.67,NAG
C60.71,NAG
C60.73,NAG
C60.74,NAG
C60.75,NAG
C60.76,NAG
C60.77,NAG
C60.78,NAG
C60.80,OAG
C60.81,CAG
C60.83,NAG
C60.84,NAG
C60.85,NAG
C60.86,NAG
C60.87,CAG
C60.88,NAG
C60.89,CAG
C60.90,NAG
C60.92,CAG
C60.93,CAG
C60.94,CAG
C60.95,OAG
C60.96,NAG
C60.97,NAG
C60.98,OAG
C60.99,OAG
C60.100,NAG
C60.101,CAG
C60.103,NAG
C60.104,NAG
C60.105,NAG
C60.106,CAG
C60.107,OAG
C60.108,NAG
C60.113,NAG
C60.114,NAG
C60.115,NAG
C60.116,OAG
C60.119,NAG
C60.120,CAG
C60.121,NAG
C60.122,NAG
C60.123,NAG
C60.124,CAG
C60.125,CAG
C60.126,CAG
C60.128,OAG
C60.129,OAG
C60.130,NAG
C60.131,NAG
C60.132,NAG
C60.133,CAG
C60.135,NAG
C60.138,NAG
C60.140,NAG
C60.141,NAG
C60.143,NAG
C60.144,NAG
C60.146,CAG
C60.147,OAG
C60.148,CAG
C60.149,CAG
C60.150,NAG
C60.151,NAG
C60.152,NAG
C60.153,OAG
C60.156,CAG
C60.157,OAG
C60.158,OAG
C60.162,NAG
C60.163,NAG
C60.164,NAG
C60.165,NAG
C60.166,CAG
C60.168,CAG
C60.169,NAG
C60.170,NAG
C60.172,NAG
C60.173,OAG
C60.174,NAG
C60.176,CAG
C60.179,NAG
C60.181,NAG
C60.182,OAG
C60.183,NAG
C60.185,NAG
C60.186,OAG
C60.187,CAG
C60.188,NAG
C60.189,NAG
C60.190,OAG
C60.191,NAG
C60.192,NAG
C60.194,NAG
C60.196,NAG
C60.198,NAG
C60.199,NAG
C60.200,NAG
C60.201,OAG
C60.202,NAG
C60.203,NAG
C60.204,NAG
C60.205,NAG
C60.208,NAG
C60.211,CAG
C60.212,NAG
C60.214,NAG
C60.215,NAG
C60.216,CAG
C60.217,NAG
C60.219,NAG
C60.222,CAG
C60.223,NAG
C60.225,NAG
C60.226,NAG
C60.228,OAG
C60.229,NAG
C60.230,NAG
C60.231,CAG
C60.232,NAG
C60.233,NAG
C60.234,NAG
C60.236,NAG
C60.237,NAG
C60.238,NAG
C60.239,NAG
C60.241,NAG
C60.243,NAG
C60.245,NAG
C60.246,NAG
C60.247,NAG
C60.249,OAG
C60.250,NAG
C60.251,NAG
C60.252,OAG
C60.253,NAG
C60.254,NAG
C60.255,OAG
C60.256,OAG
C60.259,NAG
C60.260,NAG
C60.261,CAG
C60.262,NAG
C60.264,NAG
C60.265,NAG
C60.268,NAG
C60.269,NAG
C60.271,NAG
C60.272,NAG
C60.273,NAG
C60.274,NAG
C60.275,NAG
C60.276,NAG
C60.277,NAG
C60.278,NAG
C60.280,OAG
C60.281,NAG
C60.282,NAG
C60.283,NAG
C60.284,NAG
C60.288,NAG
C60.289,CAG
C60.289.1,NAG
C60.290,NAG
C60.291,OAG
C60.292,NAG
C60.293,NAG
C60.294,CAG
C60.295,NAG
C60.295.1,CAG
C60.297,NAG
C60.301,NAG
C60.302,CAG
C60.303,NAG
C60.304,CAG
C60.306,NAG
C60.307,NAG
C60.308,NAG
C60.309,NAG
C60.310,NAG
C60.311,NAG
C60.312,NAG
C60.313,NAG
C60.315,NAG
C60.316,NAG
C60.317,NAG
C60.318,NAG
C60.319,NAG
C60.323,NAG
C60.324,NAG
C60.327,NAG
C60.328,CAG
C60.329,CAG
C60.330,CAG
C60.332,NAG
C60.334,NAG
C60.336,CAG
C60.337,NAG
C60.338,NAG
C60.340,NAG
C60.341,CAG
C60.349,CAG
C60.351,CAG
C60.353,OAG
C60.354,OAG
C60.362,OAG
C60.366,CAG
C60.368,OAG
C60.369,CAG
C60.378,OAG
C60.383,CAG
C60.400,CAG
C60.403,OAG
C60.404,CAG
C60.410,CAG
C60.413,CAG
C60.424,OAG
C60.425,OAG
C60.432,CAG
C60.435,CAG
C60.448,CAG
C60.455,OAG
C60.456,OAG
C60.457,OAG
C60.461,OAG
C60.464,CAG
C60.468,OAG
C60.469,OAG
C60.473,OAG
C60.473.1,CAG
C60.479,OAG
C60.484,CAG
C60.491,CAG
C60.495,CAG
C60.495.1,OAG
C60.502,OAG
C60.503,OAG
C60.509,CAG
C60.510,OAG
C60.520,CAG
C60.525,OAG
C60.527,OAG
C60.533,OAG
C60.535,CAG
C60.537,CAG
C60.546,CAG
C60.552,CAG
C60.560,CAG
C60.566,CAG
C60.569,CAG
C60.571,CAG
C60.572,CAG
C60.578,CAG
C60.588,OAG
C60.589,OAG
C60.616,CAG
C60.619,CAG
C60.623,CAG
C60.633,OAG
C60.635,CAG
C60.646,CAG
C60.665,CAG
C60.679,OAG
C60.685,CAG
C60.704,CAG
C60.710,CAG
C60.711,CAG
C60.717,CAG
C60.742,OAG
C60.745,CAG
C60.746,OAG
C60.749,CAG
C60.752,CAG
C60.766.1,CAG
C60.784,OAG
C60.791,OAG
C60.800,OAG
C60.801,CAG
C60.825,OAG
C60.827,CAG
C60.829,OAG
C60.831,CAG
C60.833,NAG
C60.842,NAG
C60.863,CAG
C60.875,CAG
C60.880,CAG
C60.892,CAG
C60.894,CAG
C60.913,OAG
C60.930,OAG
C60.931,OAG
C60.934,OAG
C60.947,CAG
C60.951,CAG
C60.960,CAG
C60.972,NAG
C60.986,CAG
C60.1018,CAG
C60.1020,OAG
C60.1030,OAG
C51.3,NAG
C51.10,OAG
C51.14,CAG
C51.21,CAG
C51.25,CAG
C51.26,OAG
C51.27.4,OAG
C51.32,OAG
C51.33,OAG
C51.35,NAG
C51.38,NAG
C51.39.1,CAG
C24.1623,OAG
C24.1795,CAG
C24.3392,CAG
C24.3497,OAG
C8.121,OAG
C8.404,OAG
C8.468,OAG
C8.491,OAG
C8.530,OAG
C8.615,CAG
C8.905,OAG
C8.955,OAG
C8.1005,OAG
C8.1304,CAG
C8.1525.1,OAG
C8.1564,CAG
C8.1612,OAG
C8.2011,OAG
C8.2117,OAG
C8.2163.1,CAG
C8.2209,OAG
C8.2639,CAG
C8.2672,OAG
C8.2702,CAG
C8.2771,OAG
C8.2773,OAG
C8.2907,OAG
C8.2941,OAG
C8.2948,OAG
C8.3007,OAG
C8.3021,CAG
C8.3275,OAG
C8.3749,OAG
C8.3820,OAG
C8.4085,OAG
C8.4111,OAG
C8.4331,NAG
C8.4751,CAG
C8.4827,CAG
C8.4988,OAG
C8.5110,OAG
C8.5220,OAG
C8.5286,NAG
C8.5314,OAG
C8.5330,OAG
C8.5481,OAG
C8.5579,OAG
C8.5714,OAG
C8.5801,OAG
C8.5929,OAG
C8.5976,NAG
C8.6042,NAG
C8.6203,OAG
C8.6370,NAG
C8.6417,CAG
C8.6425,CAG
C8.6581,OAG
C8.6638,OAG
C8.6699,CAG
C8.6715,OAG
C8.6743,OAG
C8.6811,OAG
C8.6873,CAG
C8.7044,NAG
C8.7176,CAG
C8.7213,OAG
C8.7239,OAG
C8.7279,OAG
C8.7353,CAG
C8.7405,CAG
C8.7446,OAG
C8.7465,NAG
C8.7705,NAG
C8.7735,OAG
C8.7795,OAG
C8.7842,OAG
C8.7924,OAG
C8.8005.1,NAG
C8.8053,OAG
C8.8089,CAG
C8.8285,OAG
C8.8304,OAG
C8.8321,OAG
C8.8322,OAG
C8.8405,OAG
C8.8616,OAG
C8.8633,NAG
C8.8743,CAG
C8.8756,OAG
C8.9278,OAG
C8.9327,OAG
C8.9757,CAG
C8.9767.1,NAG
C8.9789,OAG
C8.9793,OAG
C8.9864,OAG
C8.9884,OAG
C8.9994,CAG
C8.10977,CAG
C8.11045,OAG
C8.11242,OAG
C8.11505,NAG
C8.11674,OAG
C8.11786,OAG
C8.11977,OAG
C8.11982,OAG
C8.12098,OAG
C8.12273,OAG
C8.12274,OAG
C8.12275,OAG
C8.12276,OAG
C8.12277,OAG
C8.12278,OAG
C8.12415,CAG
C8.12598,OAG
C8.12709,OAG
C8.12787,OAG
C8.13739,OAG
C8.13883,CAG
C8.13998,NAG
C8.14732,CAG
C8.14742,OAG
C8.14842,OAG
C8.14888,OAG
C8.15033,OAG
C8.15219.2,OAG
C8.16623,OAG
C8.16658,OAG
C48.1,NAG
C48.2,OAG
C48.4,OAG
C48.7,OAG
C48.7.2,OAG
C48.8,OAG
C48.9,OAG
C48.10,OAG
C48.12,NAG
C48.13,OAG
C48.14,OAG
C48.15,NAG
C48.17,OAG
C48.18,OAG
C48.21,OAG
C48.22,OAG
C48.23,NAG
C48.24,OAG
C48.25,OAG
C48.26,OAG
C48.30,OAG
C48.33,CAG
C48.35,NAG
C48.37,NAG
C48.38,OAG
C48.42,OAG
C6.497,CAG
C6.828,OAG
C6.830,OAG
C6.1015,CAG
C6.1577,OAG
C6.2362,CAG
C6.2445,CAG
C6.2641,OAG
C6.2683,NAG
C6.2904,OAG
C6.3317,OAG
C6.3654,CAG
C6.3713,OAG
C6.3970,OAG
C6.4034,OAG
C6.4042,CAG
C17.33,OAG
C50.1,OAG
C50.3,OAG
C50.4,OAG
C50.7,OAG
C50.8,CAG
C50.13,OAG
C50.14,CAG
C50.15,NAG
C50.15.1,OAG
C50.16,OAG
C50.20,CAG
C3.113.1,OAG
C35.53.1,OAG
C54.1,NAG
C54.2,OAG
C54.3,CAG
C54.4,OAG
C54.5,CAG
C54.10,OAG
C54.10.1,CAG
C54.12.1,CAG
C54.12.2,CAG
C54.13,OAG
C54.16,OAG
C54.21,CAG
C54.22,OAG
C54.23,CAG
C54.30,OAG
C54.31,NAG
C54.34,NAG
C54.34.1,NAG
C54.36,OAG
C54.37,NAG
C54.40,OAG
C54.44,NAG
C54.44.2,CAG
C54.45,OAG
C54.46,NAG
C54.46.1,CAG
C54.47,OAG
C54.52,CAG
C54.54,OAG
C54.58,NAG
C54.61,CAG
C54.61.3,CAG
C54.63,CAG
C54.63.1,OAG
C54.64,OAG
C54.64.2,NAG
C54.65,OAG
C54.67,CAG
C54.68,CAG
C54.69,OAG
C16.58,OAG
C16.89,CAG
C16.107,OAG
C16.185,OAG
C16.345.1,OAG
C16.393,CAG
C16.439,NAG
C60.343,NAG
C60.350,NAG
C60.351.1,NAG
C60.356,NAG
C60.358,NAG
C60.361,NAG
C60.363,NAG
C60.364,NAG
C60.365,NAG
C60.374,NAG
C60.375,NAG
C60.376,NAG
C60.377,NAG
C60.379,NAG
C60.380,NAG
C60.381,NAG
C60.382,NAG
C60.385,NAG
C60.386,NAG
C60.387,NAG
C60.388,NAG
C60.390,NAG
C60.391,NAG
C60.392,NAG
C60.393,NAG
C60.395,CAG
C60.397,NAG
C60.399,NAG
C60.401,NAG
C60.402,CAG
C60.404.1,NAG
C60.405,NAG
C60.407,NAG
C60.409,NAG
C60.411,NAG
C60.412,NAG
C60.415,NAG
C60.416,CAG
C60.417,NAG
C60.418,NAG
C60.419,NAG
C60.420,NAG
C60.421,NAG
C60.422,NAG
C60.423,NAG
C60.427,NAG
C60.429,NAG
C60.429.1,NAG
C60.431,NAG
C60.432.2,CAG
C60.432.4,NAG
C60.433,NAG
C60.437,NAG
C60.438,NAG
C60.440,NAG
C60.442,NAG
C60.443,NAG
C60.444,NAG
C60.445,NAG
C60.446,NAG
C60.447,NAG
C60.449,NAG
C60.451,CAG
C60.453,NAG
C60.454,NAG
C60.458,NAG
C60.459,NAG
C60.460,NAG
C60.462,CAG
C60.463,CAG
C60.467,CAG
C60.470,NAG
C60.476,NAG
C60.477,NAG
C60.480,NAG
C60.485,NAG
C60.488,NAG
C60.489,NAG
C60.492,NAG
C60.493,CAG
C60.494,NAG
C60.497,CAG
C60.498,NAG
C60.501,NAG
C60.504,NAG
C60.505,NAG
C60.507,NAG
C60.508,NAG
C60.511,NAG
C60.512,NAG
C60.514,CAG
C60.515,NAG
C60.516,NAG
C60.517,NAG
C60.518,NAG
C60.521,NAG
C60.524,NAG
C60.529,NAG
C60.530,NAG
C60.532,NAG
C60.534,NAG
C60.536,NAG
C60.541,NAG
C60.545,NAG
C60.549,NAG
C60.550,NAG
C60.551,NAG
C60.555,NAG
C60.556,NAG
C60.558,NAG
C60.561,NAG
C60.562,NAG
C60.563,NAG
C60.564,NAG
C60.565,NAG
C60.568,NAG
C60.570,NAG
C60.573,NAG
C60.575,CAG
C60.577,NAG
C60.579,NAG
C60.580,NAG
C60.582,NAG
C60.583,NAG
C60.584,NAG
C60.590,NAG
C60.592,NAG
C60.593,NAG
C60.594,NAG
C60.595,NAG
C60.597,NAG
C60.598,NAG
C60.599,NAG
C60.601,CAG
C60.602,NAG
C60.603,NAG
C60.604,NAG
C60.605,NAG
C60.608,NAG
C60.609,NAG
C60.610,CAG
C60.611,NAG
C60.613,NAG
C60.614,NAG
C60.615,NAG
C60.617,NAG
C60.618,NAG
C60.620,NAG
C60.622,NAG
C60.624,NAG
C60.626,NAG
C60.627,NAG
C60.628,NAG
C60.629,NAG
C60.630,NAG
C60.631,NAG
C60.632,NAG
C60.634,NAG
C60.636,NAG
C60.637,CAG
C60.637.4,NAG
C60.637.5,NAG
C60.639,NAG
C60.642,NAG
C60.645,NAG
C60.647,NAG
C60.648,NAG
C60.649,NAG
C60.650,NAG
C60.651,NAG
C60.652,CAG
C60.653,NAG
C60.654,NAG
C60.656,NAG
C60.657,NAG
C60.658,NAG
C60.659,NAG
C60.660,NAG
C60.661,NAG
C60.662,NAG
C60.663,NAG
C60.666,NAG
C60.668,NAG
C60.669,NAG
C60.670,NAG
C60.671,NAG
C60.672,NAG
C60.673,NAG
C60.675,NAG
C60.676,NAG
C60.677,CAG
C60.678,NAG
C60.680,NAG
C60.682,NAG
C60.684,NAG
C60.686,CAG
C60.687,NAG
C60.688,NAG
C60.690,CAG
C60.691,CAG
C60.692,CAG
C60.695,CAG
C60.696,NAG
C60.697,NAG
C60.699,CAG
C60.699.1,NAG
C60.699.3,NAG
C60.699.4,NAG
C60.700,CAG
C60.701,NAG
C60.702,NAG
C60.703,NAG
C60.705,CAG
C60.707,NAG
C60.709,NAG
C60.712,NAG
C60.716,NAG
C60.716.1,NAG
C60.718,NAG
C60.719,CAG
C60.720,NAG
C60.722,NAG
C60.723,NAG
C60.724,NAG
C60.724.1,NAG
C60.725,NAG
C60.726,NAG
C60.727,NAG
C60.730,NAG
C60.731,NAG
C60.733,NAG
C60.734,NAG
C60.736,NAG
C60.738,CAG
C60.739,NAG
C60.743,NAG
C60.747,NAG
C60.748,NAG
C60.751,NAG
C60.753,NAG
C60.754,NAG
C60.755,CAG
C60.756,NAG
C60.757,NAG
C60.758,NAG
C60.760,NAG
C60.761,NAG
C60.762,NAG
C60.763,NAG
C60.763.1,NAG
C60.765,NAG
C60.767,NAG
C60.768,CAG
C60.769,NAG
C60.770,NAG
C60.770.1,NAG
C60.772,NAG
C60.773,NAG
C60.775,NAG
C60.776,NAG
C60.780,NAG
C60.781,NAG
C60.782,CAG
C60.783,NAG
C60.785,OAG
C60.786,NAG
C60.788,NAG
C60.789,NAG
C60.790,NAG
C60.792,OAG
C60.793,NAG
C60.795,NAG
C60.796,NAG
C60.797,NAG
C60.798,NAG
C60.804,NAG
C60.804.1,NAG
C60.805,CAG
C60.806,NAG
C60.807,NAG
C60.808,NAG
C60.809,NAG
C60.810,NAG
C60.811,NAG
C60.813,NAG
C60.814,NAG
C60.815,NAG
C60.816,NAG
C60.818,NAG
C60.819,NAG
C60.822,NAG
C60.823,CAG
C60.824,NAG
C60.826,NAG
C60.828,OAG
C60.830,OAG
C60.832,NAG
C60.835,NAG
C60.836,NAG
C60.837,NAG
C60.838,NAG
C60.839,NAG
C60.840,NAG
C60.841,NAG
C60.843,NAG
C60.844,CAG
C60.845,NAG
C60.846,NAG
C60.847,CAG
C60.850,NAG
C60.851,NAG
C60.852,NAG
C60.853,NAG
C60.854,CAG
C60.855,NAG
C60.856,NAG
C60.857,NAG
C60.858,NAG
C60.859,NAG
C60.860,CAG
C60.861,NAG
C60.862,NAG
C60.864,NAG
C60.865,NAG
C60.868,NAG
C60.869,NAG
C60.870,NAG
C60.871,NAG
C60.874,NAG
C60.875.1,NAG
C60.876,NAG
C60.877,NAG
C60.878,NAG
C60.879,NAG
C60.882,NAG
C60.883,NAG
C60.884,NAG
C60.886,NAG
C60.887,NAG
C60.888,NAG
C60.891,NAG
C60.895,NAG
C60.896.1,NAG
C60.897,NAG
C60.898,NAG
C60.899,NAG
C60.900,NAG
C60.902,NAG
C60.904,NAG
C60.905,NAG
C60.906,NAG
C60.907,NAG
C60.908,NAG
C60.909,NAG
C60.910,NAG
C60.911,NAG
C60.914,NAG
C60.915,NAG
C60.916,NAG
C60.917,NAG
C60.918,NAG
C60.920,NAG
C60.921,NAG
C60.922,NAG
C60.923,CAG
C60.924,NAG
C60.925,NAG
C60.925.1,NAG
C60.926,NAG
C60.927,NAG
C60.928,NAG
C60.929,NAG
C60.932,NAG
C60.932.1,NAG
C60.933,NAG
C60.935,NAG
C60.936,CAG
C60.937,NAG
C60.938,OAG
C60.939,NAG
C60.942,NAG
C60.943,NAG
C60.945,NAG
C60.946,NAG
C60.949,NAG
C60.950,NAG
C60.953,NAG
C60.954,NAG
C60.955,NAG
C60.957,NAG
C60.958,CAG
C60.959,NAG
C60.961,NAG
C60.963,NAG
C60.964,NAG
C60.967,NAG
C60.968,NAG
C60.969,NAG
C60.970,NAG
C60.971,CAG
C60.973,NAG
C60.974,NAG
C60.975,NAG
C60.975.1,CAG
C60.976,NAG
C60.979,NAG
C60.981,NAG
C60.983,NAG
C60.986.1,NAG
C60.986.2,NAG
C60.987,NAG
C60.989,NAG
C60.991,NAG
C60.992,NAG
C60.994,NAG
C60.995,NAG
C60.996,NAG
C60.998,NAG
C60.1000,NAG
C60.1001,NAG
C60.1004,NAG
C60.1005,NAG
C60.1006,NAG
C60.1007,NAG
C60.1008,CAG
C60.1009,CAG
C60.1010,NAG
C60.1011,NAG
C60.1012,NAG
C60.1013,NAG
C60.1014,CAG
C60.1015,NAG
C60.1017,NAG
C60.1019,NAG
C60.1021,NAG
C60.1022,NAG
C60.1023,NAG
C60.1024,NAG
C60.1026,NAG
C60.1027,NAG
C60.1028,OAG
C60.1029,NAG
C60.1031,NAG
C60.1032,NAG
C60.1033,NAG
C60.1034,NAG
C60.1035,NAG
C60.1035.1,NAG
C60.1040,NAG
C60.1041,NAG
C60.1046,NAG
C51.2,NAG
